BSSID,DATANUM,RSSI,REGION
f4:d9:fb:d0:44:ea,1,-34,REGION1
f4:d9:fb:d0:44:ed,1,-34,REGION1
f4:d9:fb:d0:44:eb,1,-34,REGION1
f4:d9:fb:d0:44:ee,1,-34,REGION1
f4:d9:fb:d0:44:ec,1,-34,REGION1
f4:d9:fb:d0:44:e2,1,-45,REGION1
f4:d9:fb:d0:44:e5,1,-45,REGION1
f4:d9:fb:d0:44:e1,1,-46,REGION1
f4:d9:fb:d0:44:e4,1,-46,REGION1
f4:d9:fb:d0:44:e3,1,-46,REGION1
f4:d9:fb:cf:95:e6,1,-56,REGION1
f4:d9:fb:cf:95:e5,1,-56,REGION1
f4:d9:fb:cf:95:e3,1,-56,REGION1
f4:d9:fb:cf:95:e4,1,-56,REGION1
f4:d9:fb:cf:95:e2,1,-57,REGION1
f4:d9:fb:cf:95:e1,1,-57,REGION1
f4:d9:fb:cf:95:ee,1,-60,REGION1
f4:d9:fb:cf:95:ea,1,-60,REGION1
f4:d9:fb:cf:95:ed,1,-60,REGION1
f4:d9:fb:cf:95:ec,1,-60,REGION1
f4:d9:fb:cf:95:e9,1,-60,REGION1
f4:d9:fb:cf:95:eb,1,-61,REGION1
f4:d9:fb:cf:95:ec,1,-61,REGION1
f4:d9:fb:d0:13:6d,1,-70,REGION1
f4:d9:fb:d0:13:6e,1,-70,REGION1
f4:d9:fb:d0:13:6c,1,-70,REGION1
f4:d9:fb:d0:13:6a,1,-70,REGION1
f4:d9:fb:d0:13:6b,1,-71,REGION1
f4:d9:fb:d2:66:cc,1,-71,REGION1
f4:d9:fb:d4:2f:ce,1,-71,REGION1
f4:d9:fb:d4:2f:cd,1,-71,REGION1
f4:d9:fb:d4:2f:ca,1,-71,REGION1
f4:d9:fb:d4:2f:cb,1,-71,REGION1
f4:d9:fb:d4:2f:c9,1,-71,REGION1
f4:d9:fb:d4:2f:cc,1,-71,REGION1
f4:d9:fb:d0:24:2b,1,-72,REGION1
f4:d9:fb:d0:24:2a,1,-72,REGION1
f4:d9:fb:d0:24:2d,1,-72,REGION1
f4:d9:fb:d0:24:24,1,-72,REGION1
f4:d9:fb:d2:66:cd,1,-72,REGION1
f4:d9:fb:d2:66:ce,1,-72,REGION1
f4:d9:fb:d2:66:cb,1,-72,REGION1
f4:d9:fb:d2:66:ca,1,-72,REGION1
f4:d9:fb:d2:66:cc,1,-72,REGION1
f4:d9:fb:cf:cd:2d,1,-73,REGION1
f4:d9:fb:cf:cd:2e,1,-73,REGION1
f4:d9:fb:cf:cd:2c,1,-73,REGION1
f4:d9:fb:d0:24:25,1,-73,REGION1
f4:d9:fb:cf:cd:29,1,-73,REGION1
f4:d9:fb:cf:cd:2a,1,-74,REGION1
f4:d9:fb:cf:cd:2b,1,-74,REGION1
f4:d9:fb:d0:24:21,1,-74,REGION1
f4:d9:fb:d0:24:22,1,-74,REGION1
f4:d9:fb:d0:24:23,1,-74,REGION1
f4:d9:fb:d0:24:26,1,-74,REGION1
f4:d9:fb:cf:9f:ab,1,-75,REGION1
f4:d9:fb:cf:9f:aa,1,-75,REGION1
f4:d9:fb:cf:9f:ac,1,-75,REGION1
f4:d9:fb:d0:13:63,1,-75,REGION1
f4:d9:fb:cf:d3:6a,1,-75,REGION1
f4:d9:fb:d0:13:65,1,-76,REGION1
f4:d9:fb:cf:9f:ad,1,-76,REGION1
f4:d9:fb:cf:9f:ae,1,-76,REGION1
f4:d9:fb:d0:13:61,1,-76,REGION1
f4:d9:fb:d0:13:62,1,-76,REGION1
f4:d9:fb:d0:13:64,1,-76,REGION1
f4:d9:fb:cf:d3:6e,1,-77,REGION1
f4:d9:fb:cf:d3:6c,1,-77,REGION1
f4:d9:fb:cf:d3:6b,1,-77,REGION1
f4:d9:fb:cf:97:6c,1,-77,REGION1
f4:d9:fb:d4:2f:c1,1,-78,REGION1
f4:d9:fb:d4:2f:c4,1,-78,REGION1
f4:d9:fb:cf:cd:21,1,-79,REGION1
f4:d9:fb:cf:cd:22,1,-79,REGION1
f4:d9:fb:cf:cd:25,1,-79,REGION1
f4:d9:fb:cf:cd:24,1,-79,REGION1
f4:d9:fb:cf:cd:23,1,-79,REGION1
64:e5:99:9f:45:a2,1,-79,REGION1
f4:d9:fb:d4:2f:c2,1,-79,REGION1
f4:d9:fb:d4:2f:c5,1,-79,REGION1
f4:d9:fb:d4:2f:c3,1,-79,REGION1
20:db:ab:92:a1:2b,1,-79,REGION1
20:db:ab:92:a1:2a,1,-79,REGION1
f4:d9:fb:d0:0a:ab,1,-79,REGION1
20:db:ab:92:a1:2d,1,-79,REGION1
f4:d9:fb:cf:b2:6a,1,-80,REGION1
f4:d9:fb:cf:b2:6b,1,-80,REGION1
20:db:ab:92:a1:2c,1,-80,REGION1
f4:d9:fb:cf:b2:6d,1,-80,REGION1
f4:d9:fb:cf:b2:6e,1,-80,REGION1
20:db:ab:92:a1:2c,1,-80,REGION1
f4:d9:fb:cf:b2:6c,1,-80,REGION1
f4:d9:fb:cf:fa:ad,1,-82,REGION1
f4:d9:fb:cf:fa:ae,1,-82,REGION1
f4:d9:fb:cf:9f:a5,1,-85,REGION1
f4:d9:fb:cf:9f:a3,1,-86,REGION1
f4:d9:fb:d2:66:c3,1,-86,REGION1
f4:d9:fb:d2:66:c4,1,-86,REGION1
f4:d9:fb:d2:66:c5,1,-86,REGION1
f4:d9:fb:d2:66:c2,1,-86,REGION1
ee:5c:68:4f:81:03,1,-86,REGION1
f4:d9:fb:d2:66:c6,1,-86,REGION1
f4:d9:fb:cf:9f:a6,1,-86,REGION1
f4:d9:fb:d2:67:4e,1,-87,REGION1
f4:d9:fb:cf:d3:65,1,-87,REGION1
f4:d9:fb:d2:66:c1,1,-87,REGION1
f4:d9:fb:d2:67:4d,1,-88,REGION1
f4:d9:fb:d2:67:4c,1,-88,REGION1
f4:d9:fb:d2:67:4a,1,-88,REGION1
70:5d:cc:cc:02:d2,1,-88,REGION1
f4:d9:fb:d0:60:a3,1,-89,REGION1
f4:d9:fb:d2:67:49,1,-89,REGION1
f4:d9:fb:d0:60:a2,1,-90,REGION1
f4:d9:fb:d0:60:a5,1,-90,REGION1
f4:d9:fb:d0:60:a4,1,-90,REGION1
f4:d9:fb:d0:60:a6,1,-90,REGION1
32:cd:a7:9c:db:05,1,-90,REGION1
f4:d9:fb:cf:b6:2b,1,-90,REGION1
f4:d9:fb:d0:60:a1,1,-91,REGION1
90:9f:33:97:70:6a,1,-91,REGION1
f4:d9:fb:d0:67:2b,1,-91,REGION1
f4:d9:fb:d0:67:2a,1,-91,REGION1
f4:d9:fb:d0:67:2d,1,-91,REGION1
f4:d9:fb:d0:67:2e,1,-91,REGION1
f4:d9:fb:cf:b6:2a,1,-91,REGION1
f4:d9:fb:d0:12:ab,1,-91,REGION1
f4:d9:fb:cf:b6:2c,1,-91,REGION1
f4:d9:fb:d0:67:2c,1,-92,REGION1
f4:d9:fb:d3:ea:4e,1,-94,REGION1
88:36:6c:86:43:a8,1,-97,REGION1
90:9f:33:7f:84:62,1,-97,REGION1
86:25:19:29:9e:66,1,-99,REGION1
f4:d9:fb:d0:44:ea,2,-34,REGION1
f4:d9:fb:d0:44:ed,2,-34,REGION1
f4:d9:fb:d0:44:eb,2,-34,REGION1
f4:d9:fb:d0:44:ee,2,-34,REGION1
f4:d9:fb:d0:44:ec,2,-34,REGION1
f4:d9:fb:d0:44:e2,2,-45,REGION1
f4:d9:fb:d0:44:e5,2,-45,REGION1
f4:d9:fb:d0:44:e1,2,-46,REGION1
f4:d9:fb:d0:44:e4,2,-46,REGION1
f4:d9:fb:d0:44:e3,2,-46,REGION1
f4:d9:fb:cf:95:e6,2,-56,REGION1
f4:d9:fb:cf:95:e5,2,-56,REGION1
f4:d9:fb:cf:95:e3,2,-56,REGION1
f4:d9:fb:cf:95:e4,2,-56,REGION1
f4:d9:fb:cf:95:e2,2,-57,REGION1
f4:d9:fb:cf:95:e1,2,-57,REGION1
f4:d9:fb:cf:95:ee,2,-60,REGION1
f4:d9:fb:cf:95:ea,2,-60,REGION1
f4:d9:fb:cf:95:ed,2,-60,REGION1
f4:d9:fb:cf:95:ec,2,-60,REGION1
f4:d9:fb:cf:95:e9,2,-60,REGION1
f4:d9:fb:cf:95:eb,2,-61,REGION1
f4:d9:fb:cf:95:ec,2,-61,REGION1
f4:d9:fb:d0:13:6d,2,-70,REGION1
f4:d9:fb:d0:13:6e,2,-70,REGION1
f4:d9:fb:d0:13:6c,2,-70,REGION1
f4:d9:fb:d0:13:6a,2,-70,REGION1
f4:d9:fb:d0:13:6b,2,-71,REGION1
f4:d9:fb:d2:66:cc,2,-71,REGION1
f4:d9:fb:d4:2f:ce,2,-71,REGION1
f4:d9:fb:d4:2f:cd,2,-71,REGION1
f4:d9:fb:d4:2f:ca,2,-71,REGION1
f4:d9:fb:d4:2f:cb,2,-71,REGION1
f4:d9:fb:d4:2f:c9,2,-71,REGION1
f4:d9:fb:d4:2f:cc,2,-71,REGION1
f4:d9:fb:d0:24:2b,2,-72,REGION1
f4:d9:fb:d0:24:2a,2,-72,REGION1
f4:d9:fb:d0:24:2d,2,-72,REGION1
f4:d9:fb:d0:24:24,2,-72,REGION1
f4:d9:fb:d2:66:cd,2,-72,REGION1
f4:d9:fb:d2:66:ce,2,-72,REGION1
f4:d9:fb:d2:66:cb,2,-72,REGION1
f4:d9:fb:d2:66:ca,2,-72,REGION1
f4:d9:fb:d2:66:cc,2,-72,REGION1
f4:d9:fb:cf:cd:2d,2,-73,REGION1
f4:d9:fb:cf:cd:2e,2,-73,REGION1
f4:d9:fb:cf:cd:2c,2,-73,REGION1
f4:d9:fb:d0:24:25,2,-73,REGION1
f4:d9:fb:cf:cd:29,2,-73,REGION1
f4:d9:fb:cf:cd:2a,2,-74,REGION1
f4:d9:fb:cf:cd:2b,2,-74,REGION1
f4:d9:fb:d0:24:21,2,-74,REGION1
f4:d9:fb:d0:24:22,2,-74,REGION1
f4:d9:fb:d0:24:23,2,-74,REGION1
f4:d9:fb:d0:24:26,2,-74,REGION1
f4:d9:fb:cf:9f:ab,2,-75,REGION1
f4:d9:fb:cf:9f:aa,2,-75,REGION1
f4:d9:fb:cf:9f:ac,2,-75,REGION1
f4:d9:fb:d0:13:63,2,-75,REGION1
f4:d9:fb:cf:d3:6a,2,-75,REGION1
f4:d9:fb:d0:13:65,2,-76,REGION1
f4:d9:fb:cf:9f:ad,2,-76,REGION1
f4:d9:fb:cf:9f:ae,2,-76,REGION1
f4:d9:fb:d0:13:61,2,-76,REGION1
f4:d9:fb:d0:13:62,2,-76,REGION1
f4:d9:fb:d0:13:64,2,-76,REGION1
f4:d9:fb:cf:d3:6e,2,-77,REGION1
f4:d9:fb:cf:d3:6c,2,-77,REGION1
f4:d9:fb:cf:d3:6b,2,-77,REGION1
f4:d9:fb:cf:97:6c,2,-77,REGION1
f4:d9:fb:d4:2f:c1,2,-78,REGION1
f4:d9:fb:d4:2f:c4,2,-78,REGION1
f4:d9:fb:cf:cd:21,2,-79,REGION1
f4:d9:fb:cf:cd:22,2,-79,REGION1
f4:d9:fb:cf:cd:25,2,-79,REGION1
f4:d9:fb:cf:cd:24,2,-79,REGION1
f4:d9:fb:cf:cd:23,2,-79,REGION1
64:e5:99:9f:45:a2,2,-79,REGION1
f4:d9:fb:d4:2f:c2,2,-79,REGION1
f4:d9:fb:d4:2f:c5,2,-79,REGION1
f4:d9:fb:d4:2f:c3,2,-79,REGION1
20:db:ab:92:a1:2b,2,-79,REGION1
20:db:ab:92:a1:2a,2,-79,REGION1
f4:d9:fb:d0:0a:ab,2,-79,REGION1
20:db:ab:92:a1:2d,2,-79,REGION1
f4:d9:fb:cf:b2:6a,2,-80,REGION1
f4:d9:fb:cf:b2:6b,2,-80,REGION1
20:db:ab:92:a1:2c,2,-80,REGION1
f4:d9:fb:cf:b2:6d,2,-80,REGION1
f4:d9:fb:cf:b2:6e,2,-80,REGION1
20:db:ab:92:a1:2c,2,-80,REGION1
