90:9f:33:a2:ac:ac,20,10:29:41 AM,real,31213
f4:d9:fb:d0:12:a5,57,10:29:41 AM,real,31213
f4:d9:fb:d0:18:a5,46,10:29:41 AM,real,31213
20:db:ab:92:97:c5,60,10:29:41 AM,real,31213
f4:d9:fb:d0:0f:25,38,10:29:41 AM,real,31213
f4:d9:fb:cf:fa:a5,65,10:29:41 AM,real,31213
f4:d9:fb:d0:0a:a5,60,10:29:41 AM,real,31213
f4:d9:fb:d0:05:2a,33,10:29:41 AM,real,31213
f4:d9:fb:d0:18:aa,65,10:29:41 AM,real,31213
f4:d9:fb:d0:0a:2a,57,10:29:41 AM,real,31213
f4:d9:fb:d0:12:aa,82,10:29:41 AM,real,31213
f4:d9:fb:cf:fa:aa,82,10:29:41 AM,real,31213
20:db:ab:92:97:ca,70,10:29:41 AM,real,31213
20:db:ab:92:9a:6a,29,10:29:41 AM,real,31213
f4:d9:fb:d0:44:ea,22,10:29:41 AM,real,31213
f4:d9:fb:d0:0f:2a,80,10:29:41 AM,real,31213
f4:d9:fb:d0:12:a4,53,10:29:41 AM,real,31213
f4:d9:fb:d0:18:a4,46,10:29:41 AM,real,31213
20:db:ab:92:97:c4,60,10:29:41 AM,real,31213
f4:d9:fb:d0:0f:24,38,10:29:41 AM,real,31213
f4:d9:fb:cf:fa:a4,62,10:29:41 AM,real,31213
f4:d9:fb:d0:63:64,70,10:29:41 AM,real,31213
f4:d9:fb:d0:05:2b,35,10:29:41 AM,real,31213
f4:d9:fb:d0:0a:2b,53,10:29:41 AM,real,31213
f4:d9:fb:d0:12:ab,82,10:29:41 AM,real,31213
f4:d9:fb:d0:18:ab,67,10:29:41 AM,real,31213
f4:d9:fb:cf:fa:ab,82,10:29:41 AM,real,31213
f4:d9:fb:d0:38:eb,24,10:29:41 AM,real,31213
f4:d9:fb:cf:d9:2b,18,10:29:41 AM,real,31213
f4:d9:fb:d0:44:eb,24,10:29:41 AM,real,31213
20:db:ab:92:97:cb,67,10:29:41 AM,real,31213
f4:d9:fb:d0:0f:2b,81,10:29:41 AM,real,31213
f4:d9:fb:d0:12:a3,53,10:29:41 AM,real,31213
f4:d9:fb:d0:18:a3,46,10:29:41 AM,real,31213
20:db:ab:92:97:c3,60,10:29:41 AM,real,31213
f4:d9:fb:d0:0f:23,38,10:29:41 AM,real,31213
f4:d9:fb:cf:fa:a3,62,10:29:41 AM,real,31213
f4:d9:fb:d0:63:63,70,10:29:41 AM,real,31213
f4:d9:fb:d0:18:ac,67,10:29:41 AM,real,31213
f4:d9:fb:d0:0a:2c,53,10:29:41 AM,real,31213
f4:d9:fb:d0:12:ac,82,10:29:41 AM,real,31213
f4:d9:fb:cf:fa:ac,82,10:29:41 AM,real,31213
20:db:ab:92:97:cc,70,10:29:41 AM,real,31213
f4:d9:fb:d0:0f:2c,81,10:29:41 AM,real,31213
f4:d9:fb:d0:12:a2,53,10:29:41 AM,real,31213
20:db:ab:92:97:c2,60,10:29:41 AM,real,31213
f4:d9:fb:d0:0f:22,35,10:29:41 AM,real,31213
f4:d9:fb:cf:fa:a2,65,10:29:41 AM,real,31213
20:db:ab:92:a1:22,70,10:29:41 AM,real,31213
f4:d9:fb:d0:63:62,72,10:29:41 AM,real,31213
f4:d9:fb:d0:0a:a2,57,10:29:41 AM,real,31213
f4:d9:fb:d0:0a:ad,84,10:29:41 AM,real,31213
f4:d9:fb:d0:05:2d,33,10:29:41 AM,real,31213
20:db:ab:92:a1:2d,84,10:29:41 AM,real,31213
f4:d9:fb:cf:fa:ad,82,10:29:41 AM,real,31213
f4:d9:fb:d0:18:ad,67,10:29:41 AM,real,31213
f4:d9:fb:d0:0a:2d,50,10:29:41 AM,real,31213
f4:d9:fb:d0:38:ed,22,10:29:41 AM,real,31213
20:db:ab:92:97:cd,67,10:29:41 AM,real,31213
20:db:ab:92:9a:6d,33,10:29:41 AM,real,31213
f4:d9:fb:cf:d9:2d,20,10:29:41 AM,real,31213
f4:d9:fb:d0:44:ed,24,10:29:41 AM,real,31213
f4:d9:fb:d0:0f:2d,80,10:29:41 AM,real,31213
00:26:66:c5:49:40,29,10:29:41 AM,real,31213
f4:d9:fb:d0:18:a1,46,10:29:41 AM,real,31213
f4:d9:fb:cf:d1:a1,26,10:29:41 AM,real,31213
f4:d9:fb:cf:fa:a1,65,10:29:41 AM,real,31213
f4:d9:fb:d0:63:61,70,10:29:41 AM,real,31213
f4:d9:fb:d3:eb:0e,29,10:29:41 AM,real,31213
f4:d9:fb:d0:18:ae,67,10:29:41 AM,real,31213
f4:d9:fb:cf:d9:2e,22,10:29:41 AM,real,31213
f4:d9:fb:d0:0f:2e,80,10:29:41 AM,real,31213
20:db:ab:92:9a:6e,26,10:29:41 AM,real,31213
f4:d9:fb:d0:44:ee,24,10:29:41 AM,real,31213
64:e5:99:a4:f5:48,24,10:29:41 AM,real,31213
c4:e9:84:9c:a6:90,18,10:29:41 AM,real,31213
f4:d9:fb:d0:05:2c,33,10:29:41 AM,real,31213
f4:d9:fb:d0:18:a9,67,10:29:41 AM,real,31213
f4:d9:fb:d0:38:ec,22,10:29:41 AM,real,31213
20:db:ab:92:97:c9,65,10:29:41 AM,real,31213
20:db:ab:92:9a:6c,29,10:29:41 AM,real,31213
f4:d9:fb:cf:d9:2c,18,10:29:41 AM,real,31213
f4:d9:fb:cf:d9:29,14,10:29:41 AM,real,31213
f4:d9:fb:d0:44:ec,26,10:29:41 AM,real,31213
f4:d9:fb:d0:44:e9,26,10:29:41 AM,real,31213
f4:d9:fb:d0:0f:29,80,10:29:41 AM,real,31213
90:9f:33:97:70:6a,46,10:29:41 AM,real,31213
78:54:2e:4c:ee:70,29,10:29:41 AM,real,31213
32:cd:a7:9f:52:d8,33,10:29:41 AM,real,31213
fe:3f:db:b9:7a:0f,16,10:29:41 AM,real,31213
72:5d:cc:41:ec:bc,20,10:29:41 AM,real,31213
88:36:6c:14:64:7a,35,10:29:41 AM,real,31213
f4:d9:fb:d0:12:a5,60,10:32:06 AM,real,31213
f4:d9:fb:d0:18:a5,70,10:32:06 AM,real,31213
20:db:ab:92:97:c5,84,10:32:06 AM,real,31213
f4:d9:fb:cf:d1:a5,26,10:32:06 AM,real,31213
f4:d9:fb:cf:fa:a5,57,10:32:06 AM,real,31213
20:db:ab:92:a1:25,46,10:32:06 AM,real,31213
f4:d9:fb:cf:cd:2a,46,10:32:06 AM,real,31213
20:db:ab:92:99:ea,85,10:32:06 AM,real,31213
